"","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR"
"121","Asparaginase","EKVX",2,0.0232427827212116,0.0225374094814301,103.129788454004
"122","Asparaginase","EKVX",3,0.0172338306404174,0.0225374094814301,76.4676643720626
"123","Asparaginase","EKVX",4,0.0184052383035509,0.0225374094814301,81.6652788720728
"124","Asparaginase","EKVX",5,0.0106726336837854,0.0225374094814301,47.3551926745582
"125","Asparaginase","HCT15",1,0.0457114972820038,0.0483074373286203,94.6262103929107
"126","Asparaginase","HCT15",2,0.0446201720895343,0.0483074373286203,92.3670858091629
"127","Asparaginase","HCT15",3,0.0471889022886676,0.0483074373286203,97.6845490015467
"128","Asparaginase","HCT15",4,0.0434009427161015,0.0483074373286203,89.8431900265347
"129","Asparaginase","HOP62",1,0.0299819835994373,0.0328472134228197,91.2770992580093
"130","Asparaginase","HOP62",2,0.030631572403281,0.0328472134228197,93.2547062942043
"131","Asparaginase","HOP62",3,0.0323308854719962,0.0328472134228197,98.4280920753393
"132","Asparaginase","HOP62",4,0.031079279369005,0.0328472134228197,94.6177046099548
"133","Asparaginase","HS578T",1,0.031964826437153,0.0300198026815637,106.479135709922
"134","Asparaginase","HS578T",2,0.0317922125840567,0.0300198026815637,105.904135750971
"135","Asparaginase","HS578T",3,0.0259782920997766,0.0300198026815637,86.5371847221729
"136","Asparaginase","HS578T",4,0.0301520871678023,0.0300198026815637,100.44065741418
"137","Asparaginase","HS578T",5,0.0271204303254666,0.0300198026815637,90.3418007544809
"138","Asparaginase","HT29",1,0.0478528553499435,0.0476834215568565,100.355330610839
"139","Asparaginase","HT29",2,0.0473237105298863,0.0476834215568565,99.2456266450147
"140","Asparaginase","HT29",3,0.0469911168687046,0.0476834215568565,98.5481228788786
"141","Asparaginase","HT29",4,0.0492583424617533,0.0476834215568565,103.302868908052
"142","Asparaginase","HT29",5,0.0345077477551452,0.0476834215568565,72.3684388168308
"143","Asparaginase","IGROV1",1,0.0379073018879667,0.038474897061932,98.52476493166
"144","Asparaginase","IGROV1",2,0.0403231718124066,0.038474897061932,104.803845862146
"145","Asparaginase","IGROV1",3,0.0398907371771257,0.038474897061932,103.679906181203
"146","Asparaginase","IGROV1",4,0.0389111121027576,0.038474897061932,101.133765322681
"147","Asparaginase","IGROV1",5,0.0322473053860707,0.038474897061932,83.8138834631919
"148","Asparaginase","LOXIMVI",1,0.0511645151205916,0.0508644306721432,100.589969148348
"149","Asparaginase","LOXIMVI",2,0.0489618039532242,0.0508644306721432,96.2594160717482
"150","Asparaginase","LOXIMVI",3,0.0473437719367464,0.0508644306721432,93.0783482900067
"151","Asparaginase","LOXIMVI",4,0.0498375248147293,0.0508644306721432,97.9810923982753
"152","Asparaginase","LOXIMVI",5,0.0480099835982391,0.0508644306721432,94.3881273491431
"153","Asparaginase","M14",1,0.0367773177037443,0.0383425390848164,95.9177941304049
"154","Asparaginase","M14",2,0.0390186561604619,0.0383425390848164,101.763360204576
"155","Asparaginase","M14",3,0.0390932358113107,0.0383425390848164,101.957869104166
"156","Asparaginase","M14",4,0.0390688903518831,0.0383425390848164,101.894374458248
"157","Asparaginase","M14",5,0.0303563696706155,0.0383425390848164,79.1715165327602
"158","Asparaginase","MALME3M",1,0.0144348115604919,0.0149155090091872,96.7771971549934
"159","Asparaginase","MALME3M",2,0.0151238858418321,0.0149155090091872,101.397048082748
"160","Asparaginase","MALME3M",3,0.0145741668518051,0.0149155090091872,97.7114950809135
"161","Asparaginase","MALME3M",4,0.0127886751484636,0.0149155090091872,85.7407892723367
"162","Asparaginase","MALME3M",5,0.0148813310677863,0.0149155090091872,99.7708563524063
"163","Asparaginase","MDAMB231",1,0.0308722084613984,0.0313143348703864,98.5881021876466
"164","Asparaginase","MDAMB231",2,0.0304122310051068,0.0313143348703864,97.1191983830617
"165","Asparaginase","MDAMB231",3,0.0294503937210194,0.0313143348703864,94.0476425346983
"166","Asparaginase","MDAMB231",4,0.031059107574994,0.0313143348703864,99.1849506098443
"167","Asparaginase","MDAMB231",5,0.0297741368097924,0.0313143348703864,95.081492016455
"168","Asparaginase","OVCAR4",1,0.0267892832731982,0.029170765833557,91.8360643188217
"169","Asparaginase","OVCAR4",2,0.0301592182730161,0.029170765833557,103.388503562433
"170","Asparaginase","OVCAR4",3,0.0291311697891223,0.029170765833557,99.8642612104851
"171","Asparaginase","OVCAR4",4,0.029719971920691,0.029170765833557,101.882727694802
"172","Asparaginase","OVCAR4",5,0.0266048834170604,0.029170765833557,91.2039250832938
"173","Asparaginase","OVCAR5",1,0.0436208267532527,0.0434162002674235,100.471313667637
"174","Asparaginase","OVCAR5",2,0.0477078143318889,0.0434162002674235,109.884821882226
"175","Asparaginase","OVCAR5",3,0.0373598727859187,0.0434162002674235,86.0505354125863
"176","Asparaginase","OVCAR5",4,0.0377791063997244,0.0434162002674235,87.0161510381442
"177","Asparaginase","SF539",1,0.0392098501481723,0.0384652108775527,101.935877260598
"178","Asparaginase","SF539",2,0.0411856951531197,0.0384652108775527,107.072583806253
"179","Asparaginase","SF539",3,0.0383273069697318,0.0384652108775527,99.6414840717761
"180","Asparaginase","SF539",4,0.0356596596661922,0.0384652108775527,92.7062632769869
"181","Asparaginase","SF539",5,0.0210092796702046,0.0384652108775527,54.6189119749895
"182","Asparaginase","SKMEL2",1,0.0302853684808363,0.0333796703715687,90.7299806849861
"183","Asparaginase","SKMEL2",2,0.0304418256680078,0.0333796703715687,91.1987006736195
"184","Asparaginase","SKMEL2",3,0.0358202278752526,0.0333796703715687,107.311508701304
"185","Asparaginase","SKMEL2",4,0.0309651623494998,0.0333796703715687,92.7665312593216
"186","Asparaginase","SKMEL2",5,0.0255980576869632,0.0333796703715687,76.6875688166366
"187","Asparaginase","SW620",1,0.0387098680219774,0.037384362126904,103.545615919763
"188","Asparaginase","SW620",2,0.0377374069043388,0.037384362126904,100.944364855649
"189","Asparaginase","SW620",3,0.0350279046687329,0.037384362126904,93.6966760321551
"190","Asparaginase","SW620",4,0.0368829819537694,0.037384362126904,98.658850533727
"191","Asparaginase","SW620",5,0.0352645033599442,0.037384362126904,94.3295574770976
"192","Asparaginase","T47D",1,0.026349894803467,0.0276361106024267,95.3458870625349
"193","Asparaginase","T47D",2,0.0269594942461631,0.0276361106024267,97.551694715666
"194","Asparaginase","T47D",3,0.027093294196589,0.0276361106024267,98.0358437059153
"195","Asparaginase","T47D",4,0.0271840500385074,0.0276361106024267,98.3642395616999
"196","Asparaginase","UACC257",1,0.0268005047695986,0.0272559337351184,98.3290648930032
"197","Asparaginase","UACC257",2,0.027169090292174,0.0272559337351184,99.6813778467895
